date,county,fips,population,cases,new_cases,new_cases_avg,new_cases_100k,new_cases_100k_avg,deaths,new_deaths,new_deaths_avg,new_tests,new_tests_avg,pos,pos_avg,inpatient_percent_occupied,icu_percent_occupied
2020-03-15,somerset,24039,25737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,st_marys,24037,111531,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,talbot,24041,37211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,washington,24043,149811,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,wicomico,24045,102172,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,worcester,24047,51564,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,anne_arundel,24003,567696,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,baltimore,24005,827625,4,1,NA,0.12082766953632382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,baltimore_city,24510,614700,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,calvert,24009,91082,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,carroll,24013,167522,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,charles,24017,157671,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,frederick,24021,248472,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,harford,24025,251025,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,howard,24027,315327,1,1,NA,0.3171311051701884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,montgomery,24031,1040133,10,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,prince_georges,24033,906202,15,6,NA,0.6621040341998804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,talbot,24041,37211,1,1,NA,2.6873773884066536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,wicomico,24045,102172,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,worcester,24047,51564,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,anne_arundel,24003,567696,3,2,NA,0.35230123164510585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,baltimore,24005,827625,6,2,NA,0.24165533907264763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,baltimore_city,24510,614700,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,calvert,24009,91082,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,carroll,24013,167522,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,charles,24017,157671,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,frederick,24021,248472,1,1,NA,0.402459834508516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,harford,24025,251025,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,howard,24027,315327,3,2,NA,0.6342622103403768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,montgomery,24031,1040133,24,14,NA,1.3459817157998062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,prince_georges,24033,906202,14,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,talbot,24041,37211,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,wicomico,24045,102172,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,worcester,24047,51564,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,anne_arundel,24003,567696,4,1,NA,0.17615061582255293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,baltimore,24005,827625,10,4,NA,0.48331067814529527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,baltimore_city,24510,614700,4,3,NA,0.4880429477794046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,calvert,24009,91082,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,carroll,24013,167522,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,charles,24017,157671,2,1,NA,0.6342320401342035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,frederick,24021,248472,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,harford,24025,251025,3,1,NA,0.3983666965441689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,howard,24027,315327,8,5,NA,1.5856555258509422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,montgomery,24031,1040133,31,7,NA,0.6729908578999031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,prince_georges,24033,906202,20,6,NA,0.6621040341998804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,talbot,24041,37211,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,wicomico,24045,102172,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,worcester,24047,51564,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,anne_arundel,24003,567696,5,1,NA,0.17615061582255293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,baltimore,24005,827625,12,2,NA,0.24165533907264763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,baltimore_city,24510,614700,8,4,NA,0.6507239303725395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,calvert,24009,91082,1,1,NA,1.0979117718100173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,carroll,24013,167522,2,1,NA,0.596936521770275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,charles,24017,157671,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,frederick,24021,248472,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,harford,24025,251025,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,howard,24027,315327,16,8,NA,2.537048841361507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,montgomery,24031,1040133,33,2,NA,0.1922831022571152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,prince_georges,24033,906202,23,3,NA,0.3310520170999402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,talbot,24041,37211,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,wicomico,24045,102172,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,worcester,24047,51564,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,anne_arundel,24003,567696,10,5,NA,0.8807530791127647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,baltimore,24005,827625,13,1,NA,0.12082766953632382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,baltimore_city,24510,614700,11,3,NA,0.4880429477794046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,calvert,24009,91082,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,carroll,24013,167522,3,1,NA,0.596936521770275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,charles,24017,157671,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,frederick,24021,248472,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,harford,24025,251025,5,2,NA,0.7967333930883378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,howard,24027,315327,18,2,NA,0.6342622103403768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,montgomery,24031,1040133,51,18,NA,1.7305479203140368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,prince_georges,24033,906202,31,8,NA,0.8828053789331739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,talbot,24041,37211,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,wicomico,24045,102172,1,1,NA,0.9787417296323847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,worcester,24047,51564,1,1,NA,1.9393375223023814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,allegany,24001,71977,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,anne_arundel,24003,567696,15,5,NA,0.8807530791127647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,baltimore,24005,827625,19,6,NA,0.7249660172179428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,baltimore_city,24510,614700,15,4,NA,0.6507239303725395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,calvert,24009,91082,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,caroline,24011,32875,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,carroll,24013,167522,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,cecil,24015,102517,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,charles,24017,157671,4,2,NA,1.268464080268407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,dorchester,24019,32261,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,frederick,24021,248472,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,garrett,24023,29376,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,harford,24025,251025,5,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,howard,24027,315327,19,1,NA,0.3171311051701884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,kent,24029,19593,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,montgomery,24031,1040133,68,17,NA,1.634406369185479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,prince_georges,24033,906202,36,5,NA,0.5517533618332336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,queen_annes,24035,49355,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,somerset,24039,25737,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,st_marys,24037,111531,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,talbot,24041,37211,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,washington,24043,149811,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,wicomico,24045,102172,2,1,NA,0.9787417296323847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,worcester,24047,51564,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,allegany,24001,71977,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,anne_arundel,24003,567696,18,3,2.4285714285714284,0.5284518474676588,0.4277943527119143,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,baltimore,24005,827625,28,9,3.5714285714285716,1.0874490258269143,0.43152739120115646,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,baltimore_city,24510,614700,24,9,3.2857142857142856,1.4641288433382138,0.5345232285203003,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,calvert,24009,91082,2,1,0.2857142857142857,1.0979117718100173,0.3136890776600049,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,caroline,24011,32875,1,1,0.14285714285714285,3.041825095057034,0.43454644215100485,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,carroll,24013,167522,4,1,0.42857142857142855,0.596936521770275,0.25582993790154646,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,cecil,24015,102517,1,1,0.14285714285714285,0.975447974482281,0.13934971064032586,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,charles,24017,157671,4,0,0.42857142857142855,0,0.27181373148608723,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,dorchester,24019,32261,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,frederick,24021,248472,1,0,0.14285714285714285,0,0.057494262072645144,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,garrett,24023,29376,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,harford,24025,251025,5,0,0.42857142857142855,0,0.17072858423321524,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,howard,24027,315327,24,5,3.4285714285714284,1.5856555258509422,1.0873066462977887,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,kent,24029,19593,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,montgomery,24031,1040133,83,15,10.428571428571429,1.442123266928364,1.0026190331978149,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,prince_georges,24033,906202,40,4,4.571428571428571,0.44140268946658695,0.5044602165332422,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,queen_annes,24035,49355,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,somerset,24039,25737,1,1,0.14285714285714285,3.885456735439251,0.555065247919893,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,st_marys,24037,111531,1,1,0.14285714285714285,0.8966117043691888,0.12808738633845554,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,talbot,24041,37211,1,0,0.14285714285714285,0,0.3839110554866648,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,washington,24043,149811,1,1,0.14285714285714285,0.6675077264019331,0.09535824662884759,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,wicomico,24045,102172,2,0,0.2857142857142857,0,0.2796404941806813,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,worcester,24047,51564,2,1,0.2857142857142857,1.9393375223023814,0.5540964349435376,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,allegany,24001,71977,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,anne_arundel,24003,567696,20,2,2.7142857142857144,0.35230123164510585,0.47812310008978653,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,baltimore,24005,827625,35,7,4.428571428571429,0.8457936867542667,0.5350939650894341,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,baltimore_city,24510,614700,31,7,4.285714285714286,1.138766878151944,0.6972042111134351,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,calvert,24009,91082,2,0,0.2857142857142857,0,0.3136890776600049,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,caroline,24011,32875,1,0,0.14285714285714285,0,0.43454644215100485,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,carroll,24013,167522,5,1,0.5714285714285714,0.596936521770275,0.34110658386872855,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,cecil,24015,102517,1,0,0.14285714285714285,0,0.13934971064032586,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,charles,24017,157671,5,1,0.5714285714285714,0.6342320401342035,0.3624183086481163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,dorchester,24019,32261,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,frederick,24021,248472,2,1,0.2857142857142857,0.402459834508516,0.11498852414529029,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,garrett,24023,29376,3,3,0.42857142857142855,10.212418300653596,1.4589169000933708,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,harford,24025,251025,5,0,0.42857142857142855,0,0.17072858423321524,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,howard,24027,315327,26,2,3.5714285714285716,0.6342622103403768,1.13261108989353,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,kent,24029,19593,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,montgomery,24031,1040133,93,10,11.857142857142858,0.961415511285576,1.1399641062386114,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,prince_georges,24033,906202,47,7,4.714285714285714,0.7724547065665271,0.5202245982999061,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,queen_annes,24035,49355,1,1,0.14285714285714285,2.026137169486374,0.289448167069482,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,somerset,24039,25737,1,0,0.14285714285714285,0,0.555065247919893,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,st_marys,24037,111531,1,0,0.14285714285714285,0,0.12808738633845554,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,talbot,24041,37211,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,washington,24043,149811,2,1,0.2857142857142857,0.6675077264019331,0.19071649325769519,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,wicomico,24045,102172,4,2,0.5714285714285714,1.9574834592647694,0.5592809883613626,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,worcester,24047,51564,2,0,0.2857142857142857,0,0.5540964349435376,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,allegany,24001,71977,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,anne_arundel,24003,567696,24,4,3,0.7046024632902117,0.5284518474676588,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,baltimore,24005,827625,42,7,5.142857142857143,0.8457936867542667,0.6213994433296653,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,baltimore_city,24510,614700,41,10,5.714285714285714,1.6268098259313488,0.9296056148179136,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,calvert,24009,91082,3,1,0.42857142857142855,1.0979117718100173,0.4705336164900074,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,caroline,24011,32875,1,0,0.14285714285714285,0,0.43454644215100485,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,carroll,24013,167522,5,0,0.5714285714285714,0,0.34110658386872855,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,cecil,24015,102517,3,2,0.42857142857142855,1.950895948964562,0.4180491319209776,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,charles,24017,157671,5,0,0.5714285714285714,0,0.3624183086481163,NA,NA,NA,NA,NA,NA,NA,NA,NA
